PR_NUM,REVISION,METERID,CREATEDDATE,FORECASTID,REQUESTED_DATE,STATUS,RESPONSE_DATE,RESPONSE_STATUS
1-ZD90NK,1,PJM_DQE_9062366251,12/11/2019 8:30,20191211083101477000_PJM_DQE_9062366251,12/11/2019 8:31,FORECAST_COMPLETE,12/11/2019 8:57,SUCCESS
1-P8V4XZ,2,PJM_PSEG_PE000010718650497929,12/11/2019 8:30,20191211083101274000_PJM_PSEG_PE000010718650497929,12/11/2019 8:31,FORECAST_COMPLETE,12/11/2019 8:51,SUCCESS
1-ZPKF7N,1,PJM_COMED_6918570006,12/11/2019 8:30,20191211083101336000_PJM_COMED_6918570006,12/11/2019 8:31,FORECAST_COMPLETE,12/11/2019 8:50,SUCCESS
1-ZPQGA5,1,ERCOT_ONCOR_10443720002321733,12/11/2019 8:30,20191211083101477000_ERCOT_ONCOR_10443720002321733,12/11/2019 8:31,FORECASTING IN PROGRESS,,
1-ZPQGA5,1,ERCOT_ONCOR_10443720002326042,12/11/2019 8:26,20191211082700927000_ERCOT_ONCOR_10443720002326042,12/11/2019 8:27,FORECAST_COMPLETE,12/11/2019 8:55,SUCCESS
1-ZPQGA5,1,ERCOT_ONCOR_10443720006649743,12/11/2019 8:26,20191211082700943000_ERCOT_ONCOR_10443720006649743,12/11/2019 8:27,FORECAST_COMPLETE,12/11/2019 8:55,SUCCESS
1-ZPQGA5,1,ERCOT_ONCOR_10443720007884964,12/11/2019 8:26,20191211082700677000_ERCOT_ONCOR_10443720007884964,12/11/2019 8:27,FORECAST_COMPLETE,12/11/2019 8:56,SUCCESS
1-ZPQGA5,1,ERCOT_ONCOR_10443720002960209,12/11/2019 8:26,20191211082700959000_ERCOT_ONCOR_10443720002960209,12/11/2019 8:27,FORECAST_COMPLETE,12/11/2019 8:56,SUCCESS
1-ZPQGA5,1,ERCOT_ONCOR_10443720002326228,12/11/2019 8:26,20191211082700677000_ERCOT_ONCOR_10443720002326228,12/11/2019 8:27,FORECAST_COMPLETE,12/11/2019 8:46,SUCCESS
1-ZPQGA5,1,ERCOT_ONCOR_10443720002320338,12/11/2019 8:26,20191211082700646000_ERCOT_ONCOR_10443720002320338,12/11/2019 8:27,FORECAST_COMPLETE,12/11/2019 8:53,SUCCESS
1-ZPQGA5,1,ERCOT_ONCOR_10443720002327871,12/11/2019 8:26,20191211082701193000_ERCOT_ONCOR_10443720002327871,12/11/2019 8:27,FORECASTING IN PROGRESS,,
